title,summary,category,url
Common Medications May Change Your Gut for Years,"Common medications may reshape the gut microbiome long after the last dose is taken. In a study of more than 2,500 people, researchers found lasting microbial changes linked not only to antibiotics, but also to antidepressants, beta-blockers, acid-reducing drugs, and benzodiazepines. Some effects were still detectable years later, suggesting past medication use may strongly influence the gut bacteria people carry today.",Society/Education,https://www.sciencedaily.com/releases/2026/08/260824065605.htm
Screen Time at Ages 1 and 6 May Matter More Than Parents Realize,More screen time during infancy and around the start of school was linked to poorer academic performance and weaker working memory years later. The findings suggest that early childhood may contain particularly sensitive windows when screen habits can have longer-lasting effects.,Society/Education,https://www.sciencedaily.com/releases/2026/08/260823094152.htm
Scientists Tracked Kids for 8 Years — The Screen Time Result Was Unexpected,"An eight-year Finnish study found that children who spent more time on screens tended to show better cognitive processing as teenagers, challenging common assumptions about screen use. Researchers say the key may be balancing physical activity with screen activities that encourage learning, creativity, and active thinking.",Society/Education,https://www.sciencedaily.com/releases/2026/08/260815064803.htm
Some Coastal Cities Are Sinking Faster Than the Ocean Is Rising,"Coastal communities are facing a hidden threat that is making rising seas far more dangerous: the land beneath them is sinking. New research shows that people in densely populated coastal regions experience an average relative sea-level rise of about 6 millimeters per year, nearly three times the global coastal average. Groundwater pumping, oil and gas extraction, heavy urban development, sediment compaction, and natural geological processes are all contributing to the problem.",Society/Education,https://www.sciencedaily.com/releases/2026/08/260801042824.htm
Alien Signals May Be Hiding Where We Rarely Listen,"Astronomers may have been listening for alien civilizations in only a small slice of the radio spectrum while overlooking a largely unexplored range of higher frequencies. Using archived data from the ALMA telescope in Chile, researchers conducted the observatory’s first SETI survey, searching for narrow signals that could indicate advanced technology. No possible alien transmissions were found, but the study revealed that even a handful of telescope observations may quietly include millions of stars.",Society/Education,https://www.sciencedaily.com/releases/2026/07/260726015239.htm
Inside the Backrooms: The Internet’s Creepiest Place Is Becoming a Tourist Attraction,"The Backrooms began as a single eerie image of empty yellow rooms, but internet users transformed it into a vast fictional world that feels disturbingly real. Through videos, games, maps, survival guides and social media stories, audiences do more than watch the horror unfold. They help build and explore it. Researchers suggest this popularity reflects a new kind of digital tourism, where people emotionally enter imaginary places filled with mystery, nostalgia and unease.",Society/Education,https://www.sciencedaily.com/releases/2026/07/260726015254.htm
Sweden’s Hidden Rare Earth Deposits Could Help Break China’s Grip,"Sweden could become an important source of rare earth elements needed for magnets and green technologies. Instead of extracting one target metal, researchers are cataloging everything contained in Swedish mineral deposits. They will then develop magnets using those naturally available combinations, potentially reducing pollution, waste, and reliance on China.",Society/Education,https://www.sciencedaily.com/releases/2026/07/260723084055.htm
New Research Reveals the Hidden Pollution Left Behind by Fireworks,"Scientists have uncovered new evidence that fireworks can pollute both the air and water in ways that extend beyond the visible smoke. The findings show that leftover debris, fine particles, and airborne chemicals may affect ecosystems and increase people&apos;s exposure to air pollution during major celebrations.",Society/Education,https://www.sciencedaily.com/releases/2026/07/260701205009.htm
Why Scientists Fear We're Missing Evidence of Extraterrestrial Life,"Scientists are raising concerns that we may be overlooking evidence of extraterrestrial life even when it is present. Hidden biosignatures, limitations in detection technology, and assumptions about what life should look like can all create dangerous false negatives. The researchers say future missions should focus not only on finding life, but also on understanding how signs of life could be missed.",Society/Education,https://www.sciencedaily.com/releases/2026/06/260623083121.htm
Think Human Anatomy Is Finished? Scientists Say Think Again,"Despite centuries of study, scientists are still finding new details and even overlooked structures within the human body. As researchers explore anatomical differences between individuals, it’s becoming clear that the body is far more complex—and less fully understood—than textbooks suggest.",Society/Education,https://www.sciencedaily.com/releases/2026/06/260618041511.htm
"Ancient DNA Reveals Plague Was Already Killing Humans 5,500 Years Ago","Plague was already a deadly killer 5,500 years ago, long before cities, farming, or the rat-infested conditions usually linked to historic outbreaks. By analyzing ancient DNA from hunter-gatherer cemeteries in Siberia, researchers discovered early plague strains in nearly 40% of the individuals studied and found evidence of rapid family-based outbreaks that wiped out many children and young teenagers.",Society/Education,https://www.sciencedaily.com/releases/2026/06/260618041450.htm
Yellowstone Wolves May Not Have Reshaped the National Park After All,"One of the most celebrated claims about Yellowstone’s wolves is facing a major challenge. Scientists say the study behind the famous trophic cascade story relied on flawed methods that overstated the ecological impact of wolf recovery. Their reanalysis found no evidence for a dramatic, park-wide surge in willow growth. Instead, the effects appear smaller and vary from place to place.",Society/Education,https://www.sciencedaily.com/releases/2026/06/260613215510.htm
DNA Solves the Mystery of a Body Found in the Arctic in 1859,"Scientists have used DNA from living descendants to identify four more members of the doomed Franklin expedition, including Harry Peglar, whose identity had remained uncertain for 166 years. The findings offer new clues about the sailors who survived for years in the Arctic before joining the expedition’s ultimately fatal escape attempt.",Society/Education,https://www.sciencedaily.com/releases/2026/09/260909231735.htm
"Ancient Teeth Reveal Humans Were Getting High 25,000 Years Ago","Ancient human remains from Sulawesi suggest people were habitually using the psychoactive betel nut as far back as 25,000 years ago. Researchers found both unusual tooth wear and traces of arecoline, the nut’s mind-altering compound, in the teeth of prehistoric hunter-gatherers. The practice may have started partly as pain relief for toothaches, but prolonged use severely damaged their teeth. The discovery could represent the earliest known evidence of habitual drug use anywhere in the world.",Society/Education,https://www.sciencedaily.com/releases/2026/09/260909231705.htm
"Devil’s Arrows: Ancient Builders Hauled 55,000-Pound Stones 11 Miles for Britain’s Tallest Stone Row","Britain’s towering Devil’s Arrows were built from 25-tonne stones hauled at least 18 kilometers from Brimham Rocks around 4,000 years ago. The discovery reveals an astonishing feat of prehistoric engineering and suggests the stones’ distant source may have been chosen for cultural or spiritual reasons.",Society/Education,https://www.sciencedaily.com/releases/2026/09/260909005152.htm
Your Personality May Be More Genetic Than Scientists Realized,"More than 1,200 genetic variants have been linked to the Big Five personality traits, and many of the same variants are also associated with health, longevity, careers, income, and everyday habits. The findings reveal a surprisingly wide genetic connection between personality and life outcomes while showing that environment still plays a powerful role.",Society/Education,https://www.sciencedaily.com/releases/2026/09/260907201554.htm
Scientists Say Love Follows Hidden Mathematical Rules,"Could math help explain why some relationships survive life’s inevitable stresses while others slowly fall apart? Researchers have spent decades developing mathematical models that treat romantic feelings as changing systems, revealing patterns in attraction, emotional reactions, conflict, and recovery.",Society/Education,https://www.sciencedaily.com/releases/2026/09/260906170140.htm
"80,000-Year-Old “arrowheads” Rewrite Human History","Archaeologists have identified tiny 80,000-year-old projectile points in Uzbekistan that may have been used like arrowheads. Their size, design, and impact damage closely resemble weapons found much later at a Homo sapiens site in France. The discovery suggests sophisticated projectile technology may have appeared in Central Asia long before modern humans became firmly established in Europe, potentially rewriting a major chapter of human migration.",Society/Education,https://www.sciencedaily.com/releases/2026/09/260903064233.htm
Money Problems May Age Your Brain Faster,Persistent financial hardship in early and middle adulthood was linked to poorer thinking skills by the 50s and more signs of brain aging later in life. Researchers say years of chronic stress and financial worry may gradually take a toll on the brain.,Society/Education,https://www.sciencedaily.com/releases/2026/08/260831015154.htm
Your Neighborhood in Your 20s May Shape Your Heart Decades Later,"Where you live in early adulthood may quietly shape your heart health for decades. Researchers found that adverse neighborhood conditions were linked to a higher risk of coronary artery calcification in midlife, an early warning sign of cardiovascular disease.",Society/Education,https://www.sciencedaily.com/releases/2026/08/260830000009.htm
Ancient Egyptian Princesses Were Buried With Weapons. Their Bones Reveal Why,"Weapons buried with ancient Egyptian princesses may have been more than ceremonial decorations. Researchers studying royal mummies from Dahshur found bone changes consistent with years of archery and other strenuous weapon use. Several women also showed evidence of healed injuries, suggesting surprisingly active lifestyles that may have included hunting or military training.",Society/Education,https://www.sciencedaily.com/releases/2026/08/260828082348.htm
"Your Dislike of Eating Bugs May Be 9,000 Years Old","Ancient teeth and human DNA are revealing a surprising history of insect eating. Modern humans in northern Eurasia appear to have eaten insects only occasionally, while Neanderthals may have consumed them much more regularly. Populations near the tropics also retained genes that make insect exoskeletons easier to digest.",Society/Education,https://www.sciencedaily.com/releases/2026/08/260827010516.htm
Scientists Say the Human Family Tree May Need a Major Rewrite,"The human family tree may be due for a major rewrite. Researchers argue that Australopithecus and Paranthropus should be folded into the genus Homo because new fossils have blurred many of the traits once used to separate them. The proposed shake-up could provide a simpler, more accurate picture of our surprisingly complicated evolutionary past.",Society/Education,https://www.sciencedaily.com/releases/2026/08/260820002413.htm
