title,summary,category,url
Who Really Needs a Heart Calcium Scan?,"A 10-year study of more than 6,000 adults found that popular coronary calcium scans may add little to standard heart disease risk estimates for many people. But for patients with borderline or intermediate risk, the scans could make a meaningful difference by revealing who is actually more likely to develop heart disease.",Health,https://www.sciencedaily.com/releases/2026/09/260911214254.htm
Scientists Find Ozempic May Slow Aging Itself,"Semaglutide helped older healthy mice live longer while improving memory, muscle function, blood sugar control, and several biological signs of aging. Its effects went beyond those seen with calorie restriction, raising the possibility that GLP-1 drugs could tap into a separate biological pathway linked to longevity.",Health,https://www.sciencedaily.com/releases/2026/09/260911214238.htm
Scientists Find a Way to Break Pancreatic Cancer’s Protective Shield,"Researchers found that blocking IL1RAP could disrupt a powerful inflammatory network that helps pancreatic cancer survive treatment. In preclinical experiments, the approach reduced tumor-protecting cells and fibrosis while boosting the activity of cancer-fighting T cells. That could make chemotherapy and immunotherapy more effective.",Health,https://www.sciencedaily.com/releases/2026/09/260911003856.htm
The Secret to Longer Life May Be Hidden in Bat DNA,"Long-lived bats appear to combine powerful immune defenses with unusual strategies for eliminating damaged cells, potentially helping them avoid cancer and disease for decades. Researchers hope these genetic tricks could eventually reveal new ways to protect human health during aging.",Health,https://www.sciencedaily.com/releases/2026/09/260911003852.htm
Too Much Light at Night May Quietly Reshape Your Heart,"Nighttime light exposure was linked to thicker, stiffer heart chambers and early signs of reduced heart function in a study of more than 11,000 people. The findings suggest that keeping bedrooms darker could be an overlooked strategy for protecting the heart.",Health,https://www.sciencedaily.com/releases/2026/09/260911003847.htm
Your Next Prescription Could Be Treating a Side Effect from the Last One,"A major Ontario study found 24 common medication chains in which one drug’s side effects can be mistaken for a new medical problem, leading to another prescription. Researchers say closer medication reviews, pharmacist involvement, and automated alerts could help prevent these potentially harmful prescribing cascades.",Health,https://www.sciencedaily.com/releases/2026/09/260911003843.htm
Study of 1.9 Million People Finds a Striking Link Between ADHD and Gut Problems,"Researchers analyzing data from more than 1.9 million people found that ADHD is associated with substantially higher rates of digestive problems. People with ADHD had nearly double the odds of constipation, 58% higher odds of irritable bowel syndrome, and more than four times the odds of encopresis.",Health,https://www.sciencedaily.com/releases/2026/09/260911003840.htm
Scientists Find Signs of Extreme Aging and Youth in the Same 117-year-old,"A remarkably detailed study of Maria Branyas, who lived past 117, reveals that extreme longevity may involve both intense aging and powerful biological protection at the same time. Researchers found signs of advanced aging, but also low inflammation, beneficial gut bacteria, protective genetic features, and a biological age younger than her chronological age. Because she avoided major disease, the study offered a rare look at aging itself rather than the illnesses that often accompany it.",Health,https://www.sciencedaily.com/releases/2026/09/260909231800.htm
Scientists Discover the Human Heart Can Regrow Muscle After a Heart Attack,"Researchers have shown for the first time that human heart muscle cells can regrow after a heart attack. The finding overturns the idea that damaged areas of the heart are completely incapable of regeneration. Scientists now hope to identify ways to dramatically boost this natural repair process, potentially opening a new path toward treatments for heart failure.",Health,https://www.sciencedaily.com/releases/2026/09/260909231754.htm
Eating Only 8 Hours a Day May Help Control Type 1 Diabetes,"Eating only between noon and 8 p.m. improved blood sugar control in a small study of adults with Type 1 diabetes and obesity, while avoiding an increase in serious complications. The promising findings offer the first evidence that time restricted eating could become another tool for managing the condition.",Health,https://www.sciencedaily.com/releases/2026/09/260909231740.htm
UCLA Scientists Turn Cord Blood Into Powerful Cancer-fighting T Cells,"UCLA researchers developed ready-made cancer-fighting T cells from cord blood stem cells that can attack solid tumors through two separate detection systems. In mice, a single dose controlled cancer and extended survival while avoiding a dangerous complication associated with donor-derived T-cell therapies.",Health,https://www.sciencedaily.com/releases/2026/09/260909231723.htm
DNA Treatment Cuts Bad Cholesterol by Nearly 50% Without Statins,"Researchers have designed a new DNA-based treatment that targets PCSK9, a protein closely tied to high LDL cholesterol and atherosclerosis. Their most effective molecule reduced PCSK9 protein by 87% in human liver cells and lowered cholesterol by 47% in genetically modified mice after a single injection.",Health,https://www.sciencedaily.com/releases/2026/09/260909225602.htm
One Sugary Drink a Day Linked to More Than Double the Risk of Stomach Cancer,"People who drank at least one sugar-sweetened beverage a day had roughly 2.45 times the risk of gastric cancer compared with those who rarely consumed them, according to a decades-long study of more than 112,000 U.S. adults. Artificially sweetened drinks showed no similar association, though researchers stress that the findings do not prove sugary beverages cause cancer.",Health,https://www.sciencedaily.com/releases/2026/09/260909005207.htm
Scientists Find a Bone-Building Switch That Could Fight Osteoporosis,"An experimental compound called AP503 significantly strengthened bones in mice by activating GPR133, a receptor that boosts bone formation while slowing bone loss. Because the same treatment has also been linked to stronger muscles, researchers see intriguing potential for combating age-related decline and osteoporosis.",Health,https://www.sciencedaily.com/releases/2026/09/260909005305.htm
Ozempic and Wegovy Linked to Nearly 40% Fewer Asthma Attacks,"Semaglutide, the drug found in Ozempic and Wegovy, was linked to nearly 40% fewer asthma attacks in a large real-world study. It was also associated with about 20% fewer COPD flare-ups. Researchers say GLP-1 drugs may offer respiratory benefits in addition to their effects on diabetes and obesity, but clinical trials are needed to confirm the findings.",Health,https://www.sciencedaily.com/releases/2026/09/260909005155.htm
Caffeine May Flip an Ancient Cellular Switch Linked to Slower Aging,"Scientists found that caffeine activates an ancient cellular energy system involved in stress resistance, DNA repair, and growth. The discovery could help explain caffeine’s links to healthier aging and may point toward new ways to target the same pathway.",Health,https://www.sciencedaily.com/releases/2026/09/260907201609.htm
Scientists Discover a Powerful New Antivenom Hidden in Rattlesnake Blood,"Researchers discovered that combinations of toxin-blocking proteins naturally found in rattlesnake blood can powerfully neutralize venom from several dangerous snake species. In lab tests, the mixtures were about 10 times more potent than a current commercial antivenom, pointing toward a new generation of nature-inspired snakebite treatments.",Health,https://www.sciencedaily.com/releases/2026/09/260907201605.htm
Your Personality May Be More Genetic Than Scientists Realized,"More than 1,200 genetic variants have been linked to the Big Five personality traits, and many of the same variants are also associated with health, longevity, careers, income, and everyday habits. The findings reveal a surprisingly wide genetic connection between personality and life outcomes while showing that environment still plays a powerful role.",Health,https://www.sciencedaily.com/releases/2026/09/260907201554.htm
Ozempic and Wegovy May Have an Unexpected Mental Health Benefit,"Semaglutide, the drug behind Ozempic and Wegovy, may have benefits that extend well beyond weight loss and diabetes. In a large Swedish study of nearly 15,000 people with bipolar disorder, its use was linked to a 21% lower risk of psychiatric hospitalization. Researchers think effects on inflammation and brain-related biological pathways could help stabilize mood, though other GLP-1 drugs did not show the same association.",Health,https://www.sciencedaily.com/releases/2026/09/260907201601.htm
Scientists Observe Einstein’s Gravity in the Quantum World for the First Time,"Physicists have directly observed a long-predicted quantum effect of gravity, putting one of Einstein’s foundational ideas to a striking new test. Using ultracold atoms, researchers split an atom’s quantum wave so that one part was held in place while the other fell freely under gravity, then reunited the two to measure the tiny difference that emerged.",Health,https://www.sciencedaily.com/releases/2026/09/260907201552.htm
Scientists Find a New Weakness in Treatment-Resistant Prostate Cancer,"Researchers have found a potential way to attack prostate cancers that evade treatment by changing their cellular identity. Combining two types of drugs reversed many of these changes and sharply slowed tumor growth in preclinical experiments, offering a possible new strategy for aggressive, treatment-resistant disease.",Health,https://www.sciencedaily.com/releases/2026/09/260904000324.htm
Early Statin Use Linked to 15% Lower Dementia Risk,"Starting statins soon after a type 2 diabetes diagnosis may do more than protect the heart. In a nationwide Danish study of more than 132,000 people, those who began statin treatment within a year of diagnosis had a 15% lower relative risk of developing dementia over 10 years compared with those who did not start statins.",Health,https://www.sciencedaily.com/releases/2026/09/260901070520.htm
Scientists Reveal the Hidden Instructions That Build the Human Brain,"UCLA researchers have discovered two powerful influences that help guide how the human brain forms before birth. Radial glia, stem cells responsible for producing much of the cerebral cortex, change their behavior depending on how they process glucose and on physical contact with signals arriving from the thalamus. Those signals can alter which types of neurons are produced, including upper-layer neurons that are especially prominent in humans.",Health,https://www.sciencedaily.com/releases/2026/09/260904000308.htm
Compound in Blueberries May Help Muscle Cells Burn Excess Fat,"Scientists in Japan have identified a natural compound found in blueberries, grapes, and other berries that may help muscle cells burn excess fat instead of storing it. The compound, pterostilbene, reduced abnormal fat buildup in cultured mouse muscle cells by boosting fat breakdown and helping stabilize a key protein involved in fatty acid metabolism.",Health,https://www.sciencedaily.com/releases/2026/09/260903064219.htm
