title,summary,category,url
"Wasps Are Disappearing This Summer, and Scientists Are Worried","Britain’s wasps have become mysteriously scarce this summer, and scientists suspect an unusual combination of temperature swings, heatwaves, and food shortages may be responsible. Even the wasps that remain appear unusually small, potentially offering a glimpse of how extreme heat could reshape insect populations.",Environment,https://www.sciencedaily.com/releases/2026/09/260911003901.htm
UNESCO Warns There’s Close to a 100% Chance of a Mediterranean Tsunami,"The Mediterranean may seem far removed from the world’s major tsunami zones, but history and modern modeling show that destructive waves can strike the French Riviera with surprisingly little warning. Some tsunamis could reach shore in under 10 minutes, while past events have produced waves around two meters high, powerful currents, damage, and deaths.",Environment,https://www.sciencedaily.com/releases/2026/09/260910022149.htm
Antarctica Gained a Record 695 Billion Tons of Ice. Scientists Found the Surprising Reason,"East Antarctica gained an astonishing 695 billion tons of ice between 2021 and 2023, temporarily slowing Antarctica’s long-term decline. Researchers found that warming thousands of miles away in the tropical ocean altered atmospheric circulation and funneled moisture toward the continent, triggering exceptionally heavy snowfall.",Environment,https://www.sciencedaily.com/releases/2026/09/260906170128.htm
Indonesia’s Most Dangerous Fires Are Burning Underground,"Indonesia’s dangerous peat fires are surging early in the 2026 fire season as a strengthening El Niño and severe drought dry out wetlands that can burn underground for months. These slow smoldering fires are especially destructive because they release far more fine particles and several pollutants than typical tropical forest fires, while thick smoke can make them difficult for satellites to detect.",Environment,https://www.sciencedaily.com/releases/2026/09/260904000318.htm
Extreme Drought Now Covers 44% of Puerto Rico,"Puerto Rico’s normally rainy season has instead brought a severe and fast-growing drought. By August 25, three-quarters of the territory was in at least moderate drought, with extreme drought covering 44 percent and some areas receiving less than 20 percent of their usual rainfall. Water shortages have forced rationing, while farmers are losing crops and ranchers are running low on hay. The situation has become serious enough to trigger both local and federal disaster declarations.",Environment,https://www.sciencedaily.com/releases/2026/09/260902234457.htm
Giant Greenland Iceberg Slams Into Joe Island and Survives,"A giant iceberg measuring more than 76 square kilometers broke from Greenland’s Petermann Glacier in August 2026, marking the Arctic’s largest glacier calving event since 2020. The berg later slammed into Joe Island but survived without breaking apart, and satellites are now tracking it as it drifts through Nares Strait.",Environment,https://www.sciencedaily.com/releases/2026/09/260904000316.htm
Plants May Be Evolving the Wrong Traits for a Warming World,"Morning glories may be getting caught in an evolutionary tug-of-war between surviving climate change and attracting increasingly scarce pollinators. Over just nine years, researchers found that the plants’ rate of adaptation plunged by 96%, even though they still had plenty of genetic diversity to evolve.",Environment,https://www.sciencedaily.com/releases/2026/09/260901010719.htm
New Mexico’s Largest Reservoir Plunges to Just 1.4% Full,"Elephant Butte Reservoir, New Mexico’s largest reservoir, plunged to just 1.4 percent capacity in July 2026 after years of extreme drought and record early snowmelt. The dramatic decline exposed long-submerged debris and underscored the growing strain on Rio Grande water supplies used by farms in New Mexico and Texas.",Environment,https://www.sciencedaily.com/releases/2026/09/260902234454.htm
One of Earth’s Driest Places Was Just Covered in Snow,"Rare storms covered huge stretches of Chile’s Atacama Desert in snow and dumped extraordinary amounts of rain on one of the driest regions on Earth. The extreme weather shut down observatories, triggered damaging floods and mudflows, and unfolded against the backdrop of a strengthening El Niño.",Environment,https://www.sciencedaily.com/releases/2026/09/260901010709.htm
Hundreds of Hidden Earthquakes Found at Antarctica’s Doomsday Glacier,"Hundreds of previously overlooked seismic events have been detected beneath Antarctica, including 245 near the marine edge of the Thwaites Glacier. Many appear to be glacial earthquakes caused when huge icebergs break off, capsize, and collide with the glacier. The surge in activity coincided with a period when Thwaites was flowing faster toward the ocean, hinting that changing ocean conditions may be destabilizing the ice.",Environment,https://www.sciencedaily.com/releases/2026/08/260829035328.htm
Researchers Unveil Sustainable Spirulina Solution to Vitamin B12 Deficiency,"Researchers have produced a form of Spirulina containing biologically active vitamin B12 at levels comparable to beef. By carefully controlling the light used to grow the algae, they overcame a major problem with conventional Spirulina, which mainly contains a form of B12 the human body cannot use. The carbon-neutral system could provide a more sustainable source of the essential vitamin.",Environment,https://www.sciencedaily.com/releases/2026/08/260829035227.htm
Scientists Turn One of the Hardest Plastics to Recycle Into High-performance Engine Lubricant,Researchers have discovered a way to turn notoriously difficult-to-recycle PVC plastic into a key ingredient used in high-performance lubricants such as engine oil. The technique could give mountains of plastic waste a valuable second life while making lubricant production more sustainable.,Environment,https://www.sciencedaily.com/releases/2026/08/260828005220.htm
DNA Solves the Mystery of a Body Found in the Arctic in 1859,"Scientists have used DNA from living descendants to identify four more members of the doomed Franklin expedition, including Harry Peglar, whose identity had remained uncertain for 166 years. The findings offer new clues about the sailors who survived for years in the Arctic before joining the expedition’s ultimately fatal escape attempt.",Environment,https://www.sciencedaily.com/releases/2026/09/260909231735.htm
