title,summary,category,url
A Cancer Therapy Put Severe Rheumatoid Arthritis Into Remission,"CAR T-cell therapy dramatically reduced disease activity in six people with severe rheumatoid arthritis that had resisted other treatments, with three achieving medication-free remission. The treatment may work by clearing out harmful immune cells and effectively rebooting part of the immune system, although much larger studies are still needed.",Health,https://www.sciencedaily.com/releases/2026/08/260828082330.htm
Keto Diet Cut Liver Fat by 67% in a Clinical Trial,"A ketogenic diet outperformed Mediterranean and low-fat diets in several measures of metabolic health during a clinical trial involving people with obesity, prediabetes, and fatty liver disease. All three groups lost about 10% of their body weight, but keto reduced liver fat by 67%, compared with 45% for the other diets. About half of the keto group also no longer qualified as having prediabetes after four to five months.",Health,https://www.sciencedaily.com/releases/2026/08/260828082327.htm
Who Really Needs a Heart Calcium Scan?,"A 10-year study of more than 6,000 adults found that popular coronary calcium scans may add little to standard heart disease risk estimates for many people. But for patients with borderline or intermediate risk, the scans could make a meaningful difference by revealing who is actually more likely to develop heart disease.",Health,https://www.sciencedaily.com/releases/2026/09/260911214254.htm
The Secret to Longer Life May Be Hidden in Bat DNA,"Long-lived bats appear to combine powerful immune defenses with unusual strategies for eliminating damaged cells, potentially helping them avoid cancer and disease for decades. Researchers hope these genetic tricks could eventually reveal new ways to protect human health during aging.",Health,https://www.sciencedaily.com/releases/2026/09/260911003852.htm
Bird Flu Is Spreading. Your Backyard Feeder Could Make It Worse,"Backyard bird feeders could become unexpected hotspots for H5N1 as Australia’s bird flu outbreak spreads, bringing species together in ways that rarely occur naturally. Experts say stopping feeding is safest, while smaller amounts of food, no hand-feeding, and careful cleaning can reduce the danger.",Health,https://www.sciencedaily.com/releases/2026/08/260824065519.htm
Ozempic and Wegovy May Have an Unexpected Mental Health Benefit,"Semaglutide, the drug behind Ozempic and Wegovy, may have benefits that extend well beyond weight loss and diabetes. In a large Swedish study of nearly 15,000 people with bipolar disorder, its use was linked to a 21% lower risk of psychiatric hospitalization. Researchers think effects on inflammation and brain-related biological pathways could help stabilize mood, though other GLP-1 drugs did not show the same association.",Health,https://www.sciencedaily.com/releases/2026/09/260907201601.htm
Scientists Find a New Weakness in Treatment-Resistant Prostate Cancer,"Researchers have found a potential way to attack prostate cancers that evade treatment by changing their cellular identity. Combining two types of drugs reversed many of these changes and sharply slowed tumor growth in preclinical experiments, offering a possible new strategy for aggressive, treatment-resistant disease.",Health,https://www.sciencedaily.com/releases/2026/09/260904000324.htm
Depression May Shut Down the Brain’s Ability to Make New Neurons,"A major study found that adults with depression show disrupted production of new neurons in the hippocampus, potentially weakening the brain’s ability to separate new experiences from painful memories. The researchers also identified broad molecular changes that could open the door to new treatments tailored to different biological forms of depression.",Health,https://www.sciencedaily.com/releases/2026/08/260823094135.htm
Experimental Compound Helps Burn Fat Without Muscle Loss,"A decades-old compound may point to a new way of treating obesity by making the body burn more energy rather than simply reducing appetite. In mice, TOFA increased energy use by as much as 18%, reduced body fat without significant muscle loss, and improved blood sugar, triglycerides, and fatty liver disease. It also produced stronger results when combined with GLP-1 drugs such as Ozempic, Wegovy, Mounjaro, and Zepbound.",Health,https://www.sciencedaily.com/releases/2026/08/260823014953.htm
A Hidden “on Switch” in Human DNA Has Finally Been Decoded,"Researchers have used AI to uncover the DNA signature of a key genetic “switch” involved in turning genes on. After analyzing about 500,000 DNA sequences, the model identified the initiator in roughly 60% of human genes. The breakthrough could help predict the effects of harmful mutations and eventually contribute to decoding the broader genetic instructions that control gene activity throughout the body.",Health,https://www.sciencedaily.com/releases/2026/08/260823014943.htm
