title,summary,category,url
Australia’s Red Soil May Be Hiding a Massive Clean Energy Source,"Researchers have discovered that Western Australia’s iron-rich rocks can naturally generate hydrogen and that the process may be boosted to produce much larger amounts. If it can be scaled up, the vast formations beneath the Pilbara could become a major new source of low-emission energy for Australia and potentially the world.",Environment,https://www.sciencedaily.com/releases/2026/08/260829035214.htm
Marine Heatwaves Are Harming Human Health in Surprising Ways,"Marine heatwaves are emerging as a threat not just to coral reefs and fisheries, but to human health and well-being. Researchers warn that unusually hot oceans can fuel stronger storms, trigger harmful algal blooms, reduce seafood supplies, disrupt livelihoods, and contribute to anxiety, grief, and depression in coastal communities.",Environment,https://www.sciencedaily.com/releases/2026/08/260811011127.htm
Manhattan-Sized Ice Island Breaks Off Greenland’s Petermann Glacier,"A Manhattan-sized ice island has broken away from Greenland’s Petermann Glacier after years of growing fractures weakened its floating ice tongue. Scientists expect two more huge sections could soon detach, potentially removing about 22 percent of the remaining ice tongue.",Environment,https://www.sciencedaily.com/releases/2026/08/260826055503.htm
Scientists Turn One of the Hardest Plastics to Recycle Into High-Performance Engine Lubricant,Researchers have discovered a way to turn notoriously difficult-to-recycle PVC plastic into a key ingredient used in high-performance lubricants such as engine oil. The technique could give mountains of plastic waste a valuable second life while making lubricant production more sustainable.,Environment,https://www.sciencedaily.com/releases/2026/08/260828005220.htm
Scientists Discover a Natural Arctic Cloud Factory Missing from Climate Models,"A newly discovered Arctic process can dramatically boost the number of particles that help form clouds. Near melting sea ice, sunlight reacts with chemicals released by the ocean, algae, and ice, causing cloud-seeding particles to multiply by as much as 50 times in a day. Because the active ice-edge region is growing as sea ice retreats, the effect could become increasingly important. Scientists now want to add the process to climate models to see how much it could reshape Arctic warming.",Environment,https://www.sciencedaily.com/releases/2026/08/260816044839.htm
Scientists Turn Starlink Into a Giant Scanner for Earth’s Upper Atmosphere,"Researchers have found a clever new way to map a part of Earth’s upper atmosphere that is notoriously difficult to observe. Using orbital data from roughly 1,200 Starlink satellites, they reconstructed changes in atmospheric density about 500 kilometers above Earth. The approach could sharpen satellite tracking and help reduce the growing risk of collisions in increasingly crowded orbits.",Environment,https://www.sciencedaily.com/releases/2026/08/260812015212.htm
The AMOC Stayed Strong Even as a Major Ocean “lifeline” Nearly Shut Down,"Ancient seafloor sediments have revealed a surprising twist in how the Atlantic’s massive circulation system works. During a cold period about 3.4 million years ago, the flow of warm, salty water from the Indian Ocean into the Atlantic nearly shut down—but the AMOC did not weaken as expected. Parts of the overturning circulation actually grew stronger.",Environment,https://www.sciencedaily.com/releases/2026/08/260805082454.htm
Europe’s Wildfires Became So Intense They Created Their Own Storm,"Historic wildfires scorched huge areas of Spain and France, with one Spanish blaze burning an area about the size of New York City and a French fire generating a rare, towering fire cloud. A dangerous combination of lush winter growth, severe heat, drought, and strong winds helped turn the landscape into explosive fuel.",Environment,https://www.sciencedaily.com/releases/2026/08/260804034631.htm
"Ancient Arctic Carbon Is Pouring Into the Sea, but the Seabed Captures Most of It","Thawing Arctic permafrost is releasing ancient carbon into the ocean, raising fears that microbes could turn it into greenhouse gases and accelerate climate change. But sediment cores collected near Canada’s Herschel Island reveal a more reassuring twist: most of this land-based carbon becomes buried in the seafloor, while only about 10 percent is converted into gases.",Environment,https://www.sciencedaily.com/releases/2026/08/260802223424.htm
"Wasps Are Disappearing This Summer, and Scientists Are Worried","Britain’s wasps have become mysteriously scarce this summer, and scientists suspect an unusual combination of temperature swings, heatwaves, and food shortages may be responsible. Even the wasps that remain appear unusually small, potentially offering a glimpse of how extreme heat could reshape insect populations.",Environment,https://www.sciencedaily.com/releases/2026/09/260911003901.htm
